客家汉字,Hakka Pronunciation,Chinese definition,English Definition
肥頭啉噤,pui2 teu2 lem4 gem4,很油膩或者很胖。,Very greasy or very fat.
瘦馬零擎,seu4 ma1 lang2 kiang2,（身材）很瘦。,Very thin and skinny (of a person's figure).
鮮水另徑,sien1 sui3 lang4 gang4,指稀飯很稀沒有米粒，像水一樣。,Congee so thin and watery it is like plain water with no rice grains.
烏厘撈臊,vu1 li1 lau1 sau1,皮膚很黑而不好看。又作烏臊滴嗒。,Very dark skin of an unattractive shade. Also 烏臊滴嗒.
烏臊百嚙,vu1 sau1 bak5 ngat5,皮膚很黑而覺得髒。,Very dark skin that looks dirty.
烏臊滴嗒,vu1 sau1 dit6 dak6,皮膚很黑而不好看。又作烏厘撈臊。 【7】四字熟語·非重疊結構·擬聲狀補 二維碼7,Very dark skin of an unattractive shade. Also 烏厘撈臊.
蹬來蹬去,diang1 loi2 diang1 hi4,撲來撲去。,Flailing about; thrashing; kicking or flapping repeatedly.
徑手徑腳,gang4 siu3 gang4 giok5,很多障礙物。,Many obstacles and obstructions in the way.
閑屍閑肉,han2 si1 han2 ngiuk5,笑稱無所事事的人。,"Lit. 'idle corpse, idle flesh'. Mockingly describes someone who is doing nothing and just loafing around."
肯食肯大,hen3 sit6 hen3 tai4,（指小孩或動物）很會吃，大得很快。,Eats well and grows fast (of a child or animal).
合想合算,hap6 siong3 hap6 son4,很理想，一切都在掌握中。,Ideal and just as planned; everything under control.
曉飛曉跳,hiau3 fui1 hiau3 tiau4,羽翼已豐，不用靠別人。,Can fly and jump; fully independent; no longer needing support from others.
唔聲唔屈,m sang1 m kut6,（因為生氣或者性格孤僻）不做聲。,Not saying a word (due to sulking or being reserved by nature).
冇鹽冇味,mau2 yam2 mau2 mui4,食物一點味道都沒有，又作冇味冇髓。,Completely tasteless (of food). Also 冇味冇髓.
冇味冇髓,mau2 mui4 mau2 sui4,食物一點味道都沒有，又作冇鹽冇味。,Completely tasteless (of food). Also 冇鹽冇味.
冇爺冇娭,mau2 ya2 mau2 oi1,孤兒。,Without father or mother; an orphan.
冇頭冇鉤,mau2 teu2 mau2 geu1,器物沒把柄供把持，引申為無從下手。,No handle to grip; nothing to grab onto. Extended: no way to begin; no starting point.
目陰目陽,muk5 yim1 muk5 yong2,打瞌睡，正在進入睡眠的狀態。,Dozing off; in a drowsy state between waking and sleeping.
眼反眼拂,ngan3 fan2 ngan3 fut6,不禮貌地翻白眼看人。“反”讀陽平。,Rolling eyes rudely at someone; giving someone an insolent look. (反 = level rising tone)
惹屍惹命,ngia1 si1 ngia1 miang4,字面是“你的屍體和命”。但客家話通常嵌入動詞用來罵人，例如孩子想看電視，媽媽會說：“功課都吂〔沒〕做好，看惹屍看惹命。”表示生氣。,Lit. 'your corpse and your life'. Used embedded in sentences as an intensifier expressing anger: e.g. 'Looking at 惹屍看惹命' = 'staring rudely at me in anger'.
韌繳韌極,ngiun4 giau2 ngiun4 git6,食物非常韌，嚼不開。,Extremely tough and chewy; impossible to bite through.
絲華絲化,si1 fa2 si1 fa4,很多絲帶狀的東西。,Full of thin stringy filaments; fibrous in texture.
死爬死蹶,si3 pa2 si3 kiet6,拼命地爬，引申為很努力地幹活。,Climbing desperately; extended: working very hard and struggling to get ahead.
大車大口,tai4 ca1 tai4 heu3,大口大口（地吃）。,Taking large bites; eating with big mouthfuls.
大花大朵,tai4 fa1 tai4 do3,（衣服上）圖案、花紋太誇張，不好看。,(Of patterns on clothes) overly large and gaudy; too flamboyant.
停手停蹄,tin2 siu3 tin2 tai2,（幹活中）停手不幹活。 二維碼8 另外，這種句式還包括一種相當於普通話“越X越Y”的“緊X緊Y”，例如“緊坐緊冷、緊喊緊走、緊食緊肥、緊想緊惶（越想越怕）”等。這些詞彙能產性很強，不勝枚舉。其中X多為動詞，Y多為動詞或形容詞。 【8】四字熟語·對稱結構·ABAC,Stopping hands and hooves; stopping in the middle of work; taking a break.
喪喪緊緊,song1 song1 gin3 gin3,很緊張，趕時間的樣子。,Very tense and hurried; rushing against time.
喪喪豺豺,song1 song1 sai2 sai2,非常猴急。,Extremely eager and impatient; extremely agitated.
冤冤枉枉,yen1 yen1 vong3 vong3,非常可憐的樣子。,Very pitiful; in a very sorry state.
丫丫桍桍,a1 a1 ka3 ka3,每根樹枝。,Every single branch and twig.
煲煲缽缽,bau1 bau1 bat5 bat5,各種廚具。,All kinds of pots and cooking utensils.
千千萬萬,cien1 cien1 man4 man4,很多很多。,Tens of thousands; an enormous number.
累累代代,lui3 lui3 toi4 toi4,世世代代,Generation after generation; from one generation to the next.
頭頭腳腳,teu2 teu2 giok5 giok5,剩下的，不值錢或者不起眼的。,"The leftovers; unimportant, worthless odds and ends."
丁丁啲啲,din1 din1 dit5 dit5,週圍一個圈。,Surrounding in a complete circle.
糠糠歇歇,hong1 hong1 hep6 hep6,擬聲詞，人聲鼎沸。,"Onomatopoeia: a loud, bustling clamour of voices."
呵呵凵凵,ko1 ko1 kem3 kem3,擬聲詞，咳嗽得很厲害。,"Onomatopoeia: hacking, persistent coughing."
爛爛漏漏,lan4 lan4 leu4 leu4,非常破爛的。,Extremely broken down and falling apart.
撈撈夾夾,lau1 lau1 gap5 gap5,胡亂混雜在一起。又作三撈四夾。,Haphazardly mixed together. Also 三撈四夾.
碌碌練練,luk5 luk5 lien4 lien4,（蟲子）萬頭鑚動的樣子,(Of worms etc.) wriggling and swarming all over.
拈拈捏捏,ngiam1 ngiam1 let5 let5,做事情不爽快。又作拈燒鼻冷。,Doing things in a slow and fussy manner; not decisive or efficient. Also 拈燒鼻冷.
爬爬蹶蹶,pa2 pa2 kiet6 kiet6,爬上爬下，又作皮爬極蹶。,Climbing up and down; scrambling around. Also 皮爬極蹶.
偷偷攝攝,teu1 teu1 ngiap5 ngiap5,偷偷摸摸。,Sneaking around; acting furtively and stealthily.
獨獨零零,tuk6 tuk6 lang2 lang2,孤本，獨自一個（物件，不能說人）。,One of a kind; a single solitary item (not used for people).
彎彎屈屈,van1 van1 vut5 vut5,很多彎角，即廣州話所謂九曲十三彎。,Full of bends and corners; winding and tortuous.
烏烏赤赤,vu1 vu1 cak5 cak5,皮膚黑中帶紅（勞動人民的膚色）。,Dark skin with a ruddy undertone (the complexion of a working person).
吱吱歪歪,zi1 zi1 vai2 vai2,小孩的哭聲等讓人覺得煩的聲音。,The whining or crying sound of a child that grates on the nerves.
呡㧍次扯,min1 mang1 ci3 ca3,扯來扯去。,Pulling and tugging back and forth.
皮爬極蹶,pi2 pa2 kit6 kiet6,（小孩頑皮）爬上爬下。 二維碼9 【9】四字熟語·對稱結構·AABB,(Of naughty children) scrambling and climbing everywhere. Also 爬爬蹶蹶.
苦甘苦甘,fu3 gam1 fu3 gam2,形容食物有點苦中帶甘。,Describes food with a slightly bitter yet sweet aftertaste.
𥍉下𥍉下,ngiap5 ha4 ngiap5 ha4,不停閃動。,Flickering repeatedly; flashing on and off.
奢鼻奢鼻,sa1 pi4 sa1 pi4,有點驕傲，又作大傲大傲。,Slightly arrogant or conceited. Also 大傲大傲.
酸甜酸甜,son1 tiam2 son1 tiam2,形容食物酸中帶甜，尤其是水果。,"Describes a sour-sweet flavour, especially of fruit."
酸果酸果,son1 go3 son1 go3,形容一個人有點神經不正常，亂說話。,Acting slightly unhinged or erratic; talking nonsensically.
畏羞畏羞,vui4 siu1 vui4 siu1,有點害羞。,Somewhat shy; a little bashful.
搖下搖下,yau2 ha4 yau2 ha4,不停搖動。 二維碼10 以上的AABB普通話不說，廣州話也只說動詞性的，不說形容詞的。相比之下，形容詞的ABAB可以說是客家話比較特殊的結構，但在閩南語也有。 【10】四字熟語·對稱結構·ABAB,Swaying repeatedly; shaking back and forth.
籬頭壁角,li2 teu2 biak5 gok5,形容到處都是。,Everywhere; in every corner and along every wall.
蛇聲𧊅氣,sa2 sang1 gai3 hi4,嘲笑別人說話有口音，或者說的話聽不到。,"Mockingly describing someone who speaks with a strange accent, or whose speech is inaudible."
屎多狗飽,si3 do1 geu3 bau3,以前農村的狗是吃屎的。屎太多就沒有吸引力了。比喻某種東西太多，吸引力大減。,"Lit. 'too much dung makes the dog full'. If something is too plentiful, it loses its appeal. Too much of a good thing."
腰駝背核,yau1 to2 boi4 het6,幹活很久很疲勞的狀態。,Bent at the waist and back from long hours of hard labour; exhausted posture.
紙糊飯黏,zi3 fu2 fan4 ngiam2,紙扎的，不牢固。,Made of paper and rice paste; flimsy and insubstantial; not solidly built.
啜馬鼻扁,zoi4 ma1 pi4 bien3,嘴巴和鼻子都很難看。形容醜陋的長相。,Both mouth and nose are unattractive; used to describe an ugly face.
猪拖狗擘,zu1 to1 geu3 mak5,屍體被豬狗撕開。罵人家死無葬身之地。,Lit. 'dragged by pigs and torn apart by dogs'. A curse: may you have no proper burial.
稱功道勞,cin1 gung1 tau4 lau2,自誇自己的功勞。,To boast about one's own accomplishments; to blow one's own trumpet.
閂門閉戶,con1 mun1 bi4 fu1,門戶都關起來了。,With all doors and windows shut tight; completely closed up.
好食懶做,hau4 sit6 lan1 zo4,只吃飯不幹活。,Loves eating but hates working; gluttonous and lazy.
學啜學鼻,hok6 zoi4 hok6 pi4,本義是小孩學別人說話，也引申為說別人閒話。,Lit. 'imitating mouth and nose'. Children mimicking others; extended: gossiping about people.
牽藤打纜,kien1 ten2 da3 lam4,野生植物藤蔓亂長的狀態。,Wild vines and creepers growing in a tangled mass.
冷鑊死灶,lang1 vok6 si3 zau4,很久沒有生火煮食的樣子。,Cold wok and dead stove; a kitchen that has not been used to cook for a long time.
棉腸爛肚,mien2 cong2 lan4 du3,本義是肚腸都腐爛透了，但一般用來嘲笑人家放屁很臭。,Lit. 'rotten intestines and decaying belly'. Originally a harsh insult; now usually used to tease someone about having very smelly flatulence.
咬鹽啜薑,ngau1 yam2 zot5 giong1,形容生活艱苦。,Lit. 'biting salt and sucking ginger'. Describes a life of poverty and hardship.
拈蛇打𧊅,ngiam1 sa2 da3 gai3,字面是捕蛇捉蛙，但用作比喻工作不專心，被其他瑣事浪費時間。,"Lit. 'catching snakes and killing frogs'. Describes someone who works distractedly, wasting time on irrelevant tasks instead of the main job."
拈燒鼻冷,ngiam1 sau1 pi4 lang1,做事情不爽快，又作拈拈捏捏。,"Handling hot items with one hand and cold with the other. Doing things in a slow, indecisive manner. Also 拈拈捏捏."
扒床扡席,pa2 cong2 ya3 ciak6,形容病重。,Sprawled across the bed with sheets spread out. Describes someone who is seriously ill.
爬籬蹶壁,pa2 li2 kiet6 biak5,（小孩）爬上爬下，又作爬蹶爬蹶。,(Of children) climbing fences and scrambling up walls; monkeying around. Also 爬蹶爬蹶.
死蛇爛𧊅,si3 sa2 lan4 gai3,形容人懶惰得不願意動。,Lit. 'dead snake and rotten frog'. Describes someone too lazy to even move.
死食爛癱,si3 sit6 lan4 tan1,好吃懶做。死食是貪吃，爛癱是表示很喜歡睡覺。,Greedy and lazy; eating too much and lounging around. 死食 = greedy eater; 爛癱 = sleepy and listless.
揓痎扡虱,si4 hoi2 ya3 sit5,拼命抓癢的樣子。,Scratching frantically at an itch.
偷薯挖芋,teu1 su2 vat5 vu4,小偷行為。,Stealing sweet potatoes and digging up taro; acts of petty theft.
横架直槓,vang2 ga4 cit6 gong4,（竹子、棍子等）亂放亂疊。,(Of bamboo or sticks) scattered about in disorder; piled every which way.
烏天暗地,vu1 tien1 am4 ti4,天昏地暗。,Dark skies and dark ground; pitch darkness in every direction.
養蛇食雞,yong1 sa2 sit6 gai1,養虎為患。,Lit. 'raising a snake to eat your chickens'. Nurturing something that will turn against you; raising a tiger.
半做半料,ban4 zo4 ban4 liau4,很悠閒地幹活。“料”是同音字，玩樂的意思。,"Working in a relaxed, leisurely way; half-work, half-play. 料 = play."
七拱八蹺,cit5 gung3 bat5 kiau4,（老人）走路快要跌倒的姿勢。,"(Of an old person) walking in a precarious, tottering manner, about to fall."
七腳八扡,cit5 giok5 bat5 ya3,手舞足蹈，或者手腳亂抓的樣子。,Waving one's arms and kicking one's legs; flailing all limbs about.
七銅八鐵,cit5 tung2 bat5 tiet5,不值錢的東西。,Bits of copper and iron; worthless junk and trinkets.
七早八早,cit5 zau3 bat5 zau3,一大清早。,Very early in the morning; at the crack of dawn.
重三倒四,cung2 sam1 dau4 si4,重複很多遍。,Repeating something over and over; saying the same thing many times.
九冬十月,giu3 dung1 sip5 ngiet6,冬天接近過年的時候。,The ninth and tenth months (winter); the cold season approaching the new year.
嫌七嫌八,hiam2 cit5 hiam2 bat5,很多嫌棄的話。廣州話說嫌三嫌四。,Full of complaints and objections; always finding fault. Cantonese says 嫌三嫌四.
五揚四散,ng3 yong2 si1 san4,四散東西。注意“四”唸陰平。,Scattered in all directions. Note: 四 is read in level tone.
年三夜四,ngien2 sam1 ya4 si4,接近過年的半個月左右。,The two weeks or so around Chinese New Year (the third and fourth weeks of the twelfth lunar month).
三撈四夾,sam1 lau1 si4 gap5,胡亂混合，又作撈撈夾夾。,Haphazardly mixed and jumbled together. Also 撈撈夾夾.
一時半下,yit5 si2 ban4 ha4,一下子，臨時。,In an instant; temporarily; at short notice.
一隻半隻,yit5 zak5 ban4 zak5,很少、個別情況。,Just one or two; a very small number; occasionally.
詐七詐八,za4 cit5 za4 bat5,裝蒜，偽裝。 二維碼11 【11】四字熟語·對稱結構·ABA’B’,Pretending; putting on an act; playing dumb.
吡吡播播,bi4 bi4 bo4 bo4,擬聲詞，連續地倒下，又作bì lì bò lò。,Onomatopoeia: falling repeatedly in quick succession. Also bì lì bò lò.
必必剝剝,bit6 bit6 bok6 bok6,擬聲詞，很零碎的意思。,Onomatopoeia: the sound of something breaking into many small pieces; fragmented.
滴滴嗒嗒,dit6 dit6 dak6 dak6,擬聲詞，滴水、時鐘等的聲音。,Onomatopoeia: dripping water or a ticking clock.
記記咖咖,gi4 gi4 gia4 gia4,多言得令人討厭（尤其是女人或者小孩子）。,Talking incessantly in an annoying way (especially of women or children).
勁勁徑徑,gin4 gin4 gang4 gang4,障礙物阻礙通道的狀態。例：凳仔愛兜好佢，唔好在廳中間勁勁徑徑〔凳子要放好，不要在廳中間造成阻礙〕。,"Things blocking a passageway. E.g. 'Put the stools away properly, don't let them block the middle of the hall.'"
激激角角,git5 git5 gok5 gok5,衣衣哦哦 口齒不清的狀態。例：佢中風之後講話衣衣哦哦。 很多棱角、轉彎，不靠看、不順暢，又作gĭt lĭt gŏk lŏk。 í í ó ó,Full of corners and bends; not smooth or easy to navigate. Also激激惜惜.
里里撈撈,li1 li1 lau1 lau1,胡亂混合在一起。,All jumbled and mixed up together in a mess.
殸殸吭吭,kin1 kin1 kang1 kang1,擬聲詞，搬動碗碟或玻璃器皿的聲音。例：吾老妹一早洗碗殸殸吭吭嘈醒厓〔我妹妹一早洗碗發出的聲音吵醒我〕。又作kín lín káng láng。,Onomatopoeia: the clattering sound of crockery or glassware being moved. Also 殸鈴吭朗.
慶慶蹺蹺,kin4 kin4 kiau4 kiau4,走路不穩。,Walking unsteadily; tottering along.
細細唆唆,si4 si4 so4 so4,擬聲詞，漏水、小動物爬行等的聲音。又作細利唆囖。,Onomatopoeia: the sound of dripping water or small creatures crawling. Also 細利唆囖.
虱虱縮縮,sit5 sit5 suk5 suk5,瑟縮在一旁（不大方）。,Huddled and shrinking timidly to one side; not at all outgoing.
廷廷跳跳,tin2 tin2 tiau2 tiau2,蹦蹦跳跳。,Bouncing and jumping about.
呃呃塞塞,et5 et5 set5 set5,肚子飽脹，沒胃口的感覺。,"The overfull, bloated, queasy feeling when you have no appetite."
漚漚漏漏,eu4 eu4 leu4 leu4,（地方）很髒亂，（人）不整潔。,(Of a place) very dirty and messy; (of a person) unkempt and sloppy.
激激惜惜,giak5 giak5 siak5 siak5,幹活手腳爽快。,"Doing work with quick, nimble hands; working swiftly and efficiently."
急急笠笠,kip5 kip5 lip5 lip5,時間很緊迫。,Very pressed for time; urgently rushed.
邋邋浹浹,lap6 lap6 gap6 gap6,全身濕透的窘態。,Completely drenched from head to toe.
遴遴掅掅,lin2 lin2 cin2 cin2,（老人、小孩）走路不穩。,(Of old people or small children) walking unsteadily.
浪浪曠曠,long4 long4 kong4 kong4,衣服太寬不合身，或者地方太大沒有家具。,"Clothes too baggy and ill-fitting, or a space too large and empty of furniture."
㪐㪐脫脫,lot5 lot5 tot5 tot5,快要脫落的樣子。,On the verge of falling off; about to come loose.
摸摸疏疏,mo1 mo1 so1 so1,幹活不爽快，又作拈拈捏捏、拈燒鼻冷。,"Working in a slow, sloppy manner. Also 拈拈捏捏, 拈燒鼻冷."
夢夢送送,mung4 mung4 sung4 sung4,睡眼惺忪，沒有睡醒的樣子。,Bleary-eyed and drowsy; not fully awake.
碍碍岔岔,nga4 nga4 ca4 ca4,手腳擋着地方，造成障礙的樣子。,Limbs getting in the way everywhere; creating obstructions.
礙礙曬曬,ngai4 ngai4 sai4 sai4,因為吃得太飽而又不舒服的感覺。,All over the place in the way; cluttering up the space.
劜劜嚓嚓,ngat6 ngat6 cat6 cat6,很吝嗇，或者性格很怪很難對付。,Extremely stingy; or very peculiar and hard to deal with.
愕愕剁剁,ngok6 ngok6 dok6 dok6,愕然，迷茫的樣子。,Stunned; bewildered; at a complete loss.
嗡嗡,ong4 ong4 bong4 bong4,很粗魯，說話很大聲。,Very rude; talking loudly and aggressively.
吔吔䑛䑛,ye2 ye2 se2 se2,動作很慢。,Moving extremely slowly; sluggish actions.
汀汀汀汀,din2 din2 din4 din4,形容水滴個不停。,Dripping water non-stop; the sound of continuous dripping.
倒倒倒倒,dau2 dau2 dau4 dau4,倒來倒去不斷重複。,Pouring back and forth repeatedly; inverting something over and over.
淼淼淼淼,miau1 miau1 miau3 miau3,（容器）水分很多，快要瀉出來。,(Of a container) very full of liquid; about to overflow.
吟吟吟吟,ngam2 ngam2 ngam4 ngam4,不斷地說話，讓別人覺得煩厭。,Talking endlessly in a way that irritates others; droning on and on.
淫淫淫淫,ngim2 ngim2 ngim4 ngim4,很多蛆蟲萬頭鑚動的樣子。,Maggots swarming in great numbers.
蓬蓬蓬蓬,pang2 pang2 pang4 pang4,頭髮或者植被很亂。,Hair or vegetation extremely disheveled or unkempt.
絮絮絮絮,sui1 sui1 sui3 sui3,很多絲狀的東西。,Full of thin fibres or fine strands.
揈揈揈揈,vin2 vin2 vin4 vin4,有條狀的東西在運送的時候，或者在風中搖來搖去。,"(Of long thin objects) swaying and swinging when carried, or in the wind."
洋洋洋洋,yong2 yong2 yong4 yong4,淹水或者滿地是水的狀態。 二維碼12 【12】四字熟語·對稱結構·A’A’AA,Flooded; water covering the ground everywhere.
