客家汉字,Hakka Pronunciation,Chinese definition,English Definition
推懶,toi1 lan1,找藉口不工作。例：吾隻工人常日推懶，唔得佢葛煞〔我傭人常常找藉口偷懶，真拿他沒辦法〕。,To make excuses not to work; to shirk duties. E.g. 'My worker always makes excuses to slack off.'
同下,tung2 ha4,本義是一起，一齊。引申為性生活的委婉語。例：其兩公婆分房睡，冇同下幾年了〔他兩口子分房睡，沒夫妻生活幾年了〕。,Lit. 'together down' – originally means 'together'; extended as a euphemism for marital intimacy. E.g. 'The couple has slept separately for years.'
鹽膽,yam2 dam3,非常鹹的食物。,Extremely salty food.
冤枉,yen1 vong3,“冤枉”有三個意思，第一個跟標準漢語相同，如“分人冤枉”〔給人冤枉〕。第二個是很慘很可憐。第三個只是口頭禪，有點像“我的天”。例：冤枉，排隊排嗨三點鐘久都還吂到厓〔我的天呀，排隊排了三個小時都還沒到我〕。,"Three meanings: 1) wronged / unjust (same as Mandarin); 2) very pitiful; 3) exclamation like 'My goodness!' E.g. 'My God, I queued for three hours and still haven't reached my turn!'"
倚勢,yi3 si4,倚仗。俗語有云：緊倚勢哎管鼻，撿到來餓絕氣。（見本章5.3）,"To rely on or exploit (power/backing). As in the proverb: 'The more you rely on your nose, the more likely it is to starve to death.'"
樣信,yong4 sin4,諸如此類。例：你愛帶便兜紙寶蠟燭樣信過去拜惹公太〔你要準備帶些元寶蠟燭等過去拜你曾祖父〕。,"And so on; things like that; et cetera. E.g. 'You should bring ingots, candles, and the like to worship your great-grandfather.'"
詐死,za4 si3,字面意義是裝死。引申為隱藏自己的實力或財富。,Lit. 'pretend to be dead'. Extended: to hide one's true abilities or wealth.
正來,zang4 loi2,“正來”作為詞語有三個解釋：1) 一開始。例：佢正來都幾好嘅，黏尾緊做緊衰〔他一開始是不錯的，後來越做越差〕。2) 才，跟“正”相同。例：吾爸六十歲正來學英文。〔我爸爸六十歲才學英文〕3) 才來：厓今晚愛八點過外正來〔我今晚要八點鐘以後才來〕。,Three meanings: 1) at first; in the beginning; 2) only then (equivalent to 才); 3) just now arriving. E.g. 'He was quite good at first but got worse and worse.'
做得,zo4 det5,有兩個意思，一是能工作，二是可以。例：惹隻病唔算嚴重，食嗨這兜丸仔就做得〔你的病不嚴重，吃了這些藥丸就可以〕。,"Two meanings: 1) able to work; 2) OK / acceptable. E.g. 'Your illness isn't serious, take these pills and you'll be fine.' Also used as euphemism for 'critically ill'."
作姣,zok5 hau2,女人賣弄風騷。,A woman acting flirtatious or coquettish.
作死,zok5 si3,本義是想死，引申為該死、調皮的意思。例：其賴子好作死，滴咁大就曉撩妹仔〔他的兒子很調皮，年紀小小就會泡女孩〕。,"Lit. 'court death'; used as 'naughty, mischievous' (for children) or 'serves you right / that's asking for trouble'. E.g. 'His son is so naughty, young as he is already hitting on girls.'"
轉添,zon3 tiam1,添飯。例：愛轉添就自家去灶下舀飯〔要添飯就去廚房盛飯〕。,"To have a second serving (of rice). E.g. 'If you want more rice, go to the kitchen and help yourself.'"
種草,zung3 cau3,遺傳。例：其賴子有其種草，好會做生理〔他兒子有他的遺傳，很會做生意〕。,Genetic inheritance; to take after (a parent). E.g. 'His son takes after him – very good at business.'
總都,zung3 du1,反正。例：總都係愛分錢，唔當住得好滴〔反正都要給錢，不如住得好點〕。,"Anyway; in any case. E.g. 'Anyway you have to pay, might as well stay somewhere nicer.'"
中命,zung4 miang4,詈語，罵人趕着去投胎。 【1】兩字熟語 二維碼1,A curse: lit. 'hit by fate / going to die'. Used to scold someone.
