客家汉字,Hakka Pronunciation,Chinese definition,English Definition
畚箕擐,bun4 gi1 kan4,字面是用畚箕來提着走。其實是指以前把女嬰殺害後處理屍體的動作。近代演變為罵女孩子的話，又作“畚箕笠”。,"Lit. 'carrying a dustpan'. Refers to an old practice of disposing of female infants. Now used as an insult for girls, or as 畚箕笠."
嚼舌頭,ciau4 set6 teu2,搬弄是非，亂說的意思。,To gossip; to spread rumours; to stir up trouble with words.
臭嬭臊,ciu4 len4 sau1,嬰孩身上散發着奶的臊味。笑人心智未成熟，黄毛小子乳臭未干。例：你都還臭嬭臊就學人拍拖？〔你還有奶臊味就學着別人談戀愛？〕,Smelling of milk (of an infant). Used to mock someone immature: 'still wet behind the ears'. E.g. 'You still smell of milk and you're already dating?'
臭貓屎,ciu4 miau4 si3,字面是有貓屎的臭味。比喻為兩個小孩玩耍之間起爭執。例：兩老表搞冇兩下就臭貓屎〔兩老表玩沒兩下就翻臉〕。,Smelling of cat dung. Describes quarrels or spats between children. E.g. 'The two cousins started fighting after just a short while.'
臭水古,ciu4 sui3 gu3,蔬果等食物給水泡太久而產生的難聞味道。,The unpleasant smell of vegetables or fruit soaked in water for too long.
長飯娘,cong2 fan4 ngiong2,指吃飯吃很久的人（一般指小孩）。,A person (usually a child) who takes a very long time to eat their meal.
坐冷石,co1 lang1 sak6,坐冷板凳。受到冷落。,To sit on a cold stone. Means to be left out in the cold; to be given the cold shoulder.
出絕嗨,cut5 ciet6 hoi1,字面是出到盡頭了，其實是罵對方的父母生出一個不能再壞的人。但後來這句話的意義又變得溫和點，用來笑別人過分而已。例：你真係出絕嗨，恁樣都想得出來〔你真的太過分了，這樣都想得出來〕。,"Lit. 'born to the end of the line'. Originally a curse that the recipient's lineage will end. Now softened to 'you've gone too far'. E.g. 'You've really outdone yourself, how did you even think of that?'"
打靶鬼,da3 ba3 gui3,字面是被拉去打靶的人，引申為該死的。但現代只是用來笑罵對方的暱稱。又作“炮打鬼”。,Lit. 'person shot at the execution ground'. Means 'damned' or 'scoundrel'. Now often used as a playful nickname. Also 炮打鬼.
打絕佢,da3 ciet6 gi2,字面是打死他。但沒那麼嚴重，只是嚇唬小孩的話。,Lit. 'beat him to death'. Used to threaten (or scare) children; not as serious as it sounds.
打粗着,da3 cu1 zok5,（比較好的衣服）穿來幹粗活。,"To wear good or decent clothes for rough, dirty work."
打鬼噏,da3 gui3 ngap5,本指人鬼神上身亂說話。用來罵人亂蓋。又作打病噏。,"Lit. 'possessed by a ghost, talking nonsense'. Used to scold someone for talking rubbish. Also 打病噏."
打理佢,da3 li1 gi2,字面是管他。其實是由他去。,Lit. 'manage/deal with him'. Actually means 'never mind him; let him be; ignore him'.
打落佢,da3 lok6 gi2,看扁他。例：佢恁懶，厓打落佢考唔倒大學/〔他那麼懶惰，我看死他考不上大學〕。,"To look down on him; to underestimate him. E.g. 'He's so lazy, I bet he can't get into university.'"
打病噏,da3 piang4 ngap5,本指病重的人亂說話。用來罵人亂說話。又作打鬼噏。,Lit. 'talking deliriously when ill'. Used to scold someone for talking nonsense. Also 打鬼噏.
打淡食,da3 tam1 sit6,本來用來送飯或者送酒的食物，單獨拿來吃。,To eat by itself something that was meant as a side dish or accompaniment.
打野食,da3 ya1 sit6,在野外覓食，也引申為在外面偷情。,To forage in the wild. Extended: to have an affair or go behind a partner's back.
帶人仔,dai4 ngin2 zai3,照顧小孩，又作渡人仔。,To take care of a child. Also 渡人仔.
刀石頭,dau1 sak6 teu2,刀石，磨刀石。從前到後很長，像個磨刀石的頭型。,A whetstone (for sharpening knives). Also refers to a head shaped like a long whetstone.
滴恁多,dit6 an2 do1,才那麼的一丁點。,Just that tiny little bit; only so much (dismissively).
滴打滴,dit6 da3 dit6,小部分小部分地。例：打爛隻杯，玻璃析愛滴打滴撿起來〔到了杯子，玻璃碎片要一塊一塊撿起來〕。,Little by little; piece by piece. E.g. 'The glass shards need to be picked up one by one.'
滴哥仔,dit6 go1 zai3,一丁點兒。又作滴息仔、滴仔。,"A tiny little bit; a very small amount. Also 滴息仔, 滴仔."
滴息仔,dit6 sit5 zai3,一丁點兒。又作滴哥仔、滴仔。,"A tiny little bit; a very small amount. Also 滴哥仔, 滴仔."
對打對,dui4 da3 dui4,一雙雙一對對的。,In pairs; one pair at a time.
掩膆雞,em4 sio4 gai1,本義是指一些生病，沒有胃口，躲在一旁的雞。“掩膆”是指前胃沒有時食物凹下去的狀態。引申義指人生病、沒有精神的樣子。,A sick chicken that has lost its appetite and huddles to the side. 掩膆 = the sunken crop of a listless chicken. Extended: a person who looks ill or listless.
漚杉樹,eu4 cam4 su4,指屍體在棺材中腐爛。罵人家去死的話。,A body rotting in a coffin. A harsh curse: 'Go rot in your coffin.'
漚歿泥,eu4 mut5 lai2,罵人屍體在泥土中腐爛。連泥土都弄爛了。罵人家去死的話。又作漚黃泥。,"A body rotting in the soil, contaminating it. A harsh curse. Also 漚黃泥."
漚黃泥,eu4 vong2 lai2,指屍體在黃土中腐爛。罵人家去死的話。又作漚歿泥。,A body rotting in yellow earth. A harsh curse. Also 漚歿泥.
狗屎潑,geu3 si3 pat5,口頭禪，相當於：呸，大吉利是。,An exclamation: 'Ptooey! Good grief!' A mild dismissive exclamation.
狗虱覺,geu3 sit5 gau4,睡覺沒一會便醒來。,"A dog-flea nap; to fall asleep briefly and wake up again almost immediately; a very light, short sleep."
叫對佢,giau4 doi4 gi2,（被他欺負）因為他而哭。注意“對”的發音。,To cry because of him; (being bullied) crying on his account. Note: 對 has a specific tone.
叫嬭食,giau4 len4 sit6,哭着要喝奶。但也用來來嘲笑人思想幼稚，沒長大。,Crying for milk. Also used mockingly: thinking like a child; immature.
過魔薯,go1 mo1 su1,詈語，罵人絕子絕孫，又作過魔。,A curse meaning 'may your lineage end'. Also 過魔.
各在人,gok5 cai4 ngin2,（在於）每個人。例：榴蓮好唔好食，各在人唔同〔榴蓮好食與否，因人而異〕。,It varies by person; it depends on the individual. E.g. 'Whether durian tastes good or not varies from person to person.'
鬼㧍筋,gui3 bang1 gin1 $,指一個人發育不良，很瘦小的身材。,"Lit. 'ghost tendons'. Describes a person with a poorly developed, very thin, scrawny build."
鹹搭苦,ham2 dap5 fu3,非常鹹，鹹到發苦。,So salty it turns bitter; extremely salty.
好下正,hau3 ha4 zang4,暫時這樣。相當於“再見”。,OK for now; bye for now. Equivalent to 'see you later'.
好食祿,hau3 sit6 luk5,有口福。,Having the fortune to enjoy good food; a blessed palate.
好啜碼,hau3 zoi4 ma1,（指小孩）很有口頭上的禮貌。,Describes a child who is polite and well-spoken.
好總成,hau3 zung3 sin2,有好處給人。例：帶恁多東西來，有乜介好總成厓哦〔帶那麼多東西來，有什麼好處給我的〕。,Something beneficial to offer someone. E.g. 'Bringing all these things – there must be something in it for me?'
擐竹筒,kan4 zuk5 tung2,字面是背著竹筒，意思是行乞的人。,Lit. 'carrying a bamboo tube (as a beggar)'. Means a beggar.
看等來,kon4 den3 loi2,小心點。,Watch out; be careful.
看信正,kon4 sin4 zang4,看清楚下。,Take a proper look; look carefully.
空心肚,kung1 sim1 du3,空腹。例：空心肚唔食得酒〔空腹不能喝酒〕。,An empty stomach; fasting. E.g. 'Don't drink alcohol on an empty stomach.'
屈尾龍,kut6 mui1 lung2,字面是斷掉尾巴的龍。但其中有個複雜的典故。現在引申為“搞風搞雨”，添麻煩的人。,Lit. 'a dragon with a broken tail'. Complex legend. Now means someone who stirs up trouble and creates mischief for others.
爛飯粥,lan4 fan4 zuk5,煮得很爛，幾乎好像粥一樣的飯。,Rice cooked so soft it is almost like congee.
爛卵核,lan4 lin3 lak6,字面是爛掉的男性器官。蔑稱流氓、地痞。,Lit. 'rotten male genitals'. A derogatory term for a ruffian or hoodlum.
兩頭掅,liong3 teu2 cin1,搖頭擺鬧，走路不穩的樣子。,"Walking with a swaying, wobbly, unstable gait; wobbling from side to side."
仰邊好,liong4 bien1 hau3,仰邊（老派發音為ngiòng bién），怎樣。仰邊好：怎樣是好，怎麼辦？,What should be done? What is the best approach? How should we handle this? (仰邊 = how; 老派 ngiòng bién)
仰得來,liong4 det5 loi2,“仰”是“仰邊”的簡稱，意思是“怎樣有那麼快？”,How could it be that fast? 'How did you get here so quickly?' (shortened form of 仰邊)
唔着意,m cok6 yi4,不合胃口想吐。例子：厓正先食到嘅酸梅唔着意〔我剛才吃到的酸梅不合胃口〕。,Unpalatable; makes you want to spit it out. Not to one's taste. E.g. 'The sour plum I just ate was not to my taste at all.'
唔着着,m cok6 zok5,不合穿。注意“着”是多音多義字。,Doesn't fit (clothing). Note: 着 is polysemous.
唔伸差,m cun1 ca1,“伸差”是整齊。但“唔伸差”除了指物件不整齊以外，還有事情不清楚、沒條理的意思。例：這件事厓都講唔伸差咯〔這件事我也無法講清楚了〕。,Untidy; unclear; in a mess. Also: unable to explain clearly. E.g. 'I can't even explain this matter clearly.'
唔得倒,m det5 dau3,巴不得。例：其三兄弟唔得倒其爸一死就分身家〔他們三兄弟巴不得他們爸爸一死就分家產〕。,Would like nothing better than; wishing for. E.g. 'His three brothers wish their father would die so they can divide the estate.'
唔得來,m det5 loi2,時間還沒到。例：惹賴子幾時娶老婆噢？唔得來嗻（zé）〔你兒子什麼時候結婚啦？還早着啦〕。,The time hasn't come yet; too early for that. E.g. 'When is your son getting married? It'll be a while yet.'
唔得死,m det5 si3,字面是想死，找死。但比喻為白費氣力、白幹。明知佢唔識字還送本書分佢，唔得死咩〔明知道他不識字還送一本書給他，白費氣力〕。,Lit. 'court death' – means doing something pointless or futile. E.g. 'Giving an illiterate person a book – what a waste of effort.'
唔知死,m di1 si3,不怕死，引申為不知天高地厚，又指不知內情。例：厓大吾老弟十八年，唔知死好多人還以為我係其爸〔我比弟弟大十八年，不知就裏的很多人還以為我是他爸爸〕。,Not afraid to die; doesn't know one's limits; unaware of the situation. E.g. 'I'm 18 years older than my brother – people who don't know would think I'm his father.'
唔知性,m di1 sin4,（通常指小孩、貓狗）不懂事。有時跟“唔知死”差不多。又作“唔知天、唔知天性”。,"Doesn't know better (usually of children or animals); misbehaving. Also 唔知天, 唔知天性."
唔知羞,m di1 siu1,不知羞恥，不要臉。,Shameless; has no sense of shame.
唔知頭,m di1 teu2,不經意，不小心。,Unaware; inattentive; not noticing.
唔知天,m di1 tien1,（通常指小孩、貓狗）不懂事。有時跟“唔知死”差不多。又作“唔知天、唔知天性”。,"Doesn't know better (usually of children or animals). Also 唔知性, 唔知天性."
唔刮你,m gat5 ngi2,不理睬你。,Not paying any attention to you; ignoring you.
唔夠胲,m geu4 goi1,（食物太少）不夠喉。,(Of food) not enough to satisfy the throat; not enough.
唔過𣝗,m go4 fut6,飯未熟透，中心仍然很硬，好像有個核一樣。,"Rice not cooked through – still hard in the centre, like it has a stone core."
唔好正,m mau3 zang4,慢着，等一下。,Wait a moment; hold on.
唔係路,m me4 lu4,字面是“不是路”，但意思是不對勁，不像話。,Lit. 'not the road'. Means: something is off; this isn't right; this is not acceptable.
唔捨得,m sa3 det5,捨不得。,Can't bear to part with; reluctant to give up.
唔使來,m su3 loi2,字面是不用來。但語氣不一樣有兩個意思。語氣輕的話是字面意義。語氣重的話是“（你）少來（這套）吧”。,"Don't need to come (literal, light tone); or 'Don't give me that!' (dismissive, heavy tone)."
唔做得,m zo4 det5,語氣不一樣有兩個意思：1) 不能工作。2) 不行。例：你唔做得打人〔你不能打人〕。3) 病重到快要死得委婉語。例：佢病到恁嚴重，怕快唔做得了〔他病到那麼嚴重，恐怕快不行了〕。,"1) Cannot work. 2) Not OK; not acceptable. 3) Euphemism for terminally ill. E.g. 'You're not allowed to hit people.' / 'He's so seriously ill, I'm afraid he won't make it.'"
麻理來,ma2 li1 loi2,隨便來，亂來。,To do things randomly and carelessly.
麻衣煞,ma2 yi1 sat5,本是一個穿着麻衣的煞星。現一般用來罵人。有時也用作暱稱。,A malevolent spirit wearing mourning clothes (hemp garments). Used as a curse or sometimes affectionately as a nickname.
冇刮煞,mau2 gat5 sat5,刮煞是辦法。沒法子的意思。,刮煞 = a method/way. 冇刮煞 = there's no way; nothing can be done.
冇教招,mau2 gau1 zau1,沒有教養。,Without manners; badly brought up; no upbringing.
冇下頷,mau2 ha1 ngam1,下頷，下巴。傳說中的鬼是沒有下巴的，因此“冇下頷”一般指人說鬼話，胡扯。,Lit. 'no lower jaw' (ghosts are said to lack a lower jaw). Means: talking nonsense; talking rubbish.
冇心性,mau2 sim1 siang4,沒心情。又作“冇心冇性”。,Not in the mood; lacking motivation or interest. Also 冇心冇性.
冇頭神,mau2 teu2 sin2,沒記性。,Forgetful; poor memory.
貓徙竇,miau4 sai3 deu4,母貓經常搬動自己的孩子到新的地方。因此貓徙竇用來比喻一些經常搬家的人。,A mother cat that frequently moves her kittens to a new location. Describes a person who moves house very often.
暮固狗,mu4 gu4 geu3,“暮固”是不作聲的意思。“暮固狗”是指一些不喜歡吠的狗，但也要來戲稱不太說話的人。,"暮固 = quiet, not barking. A quiet dog that doesn't bark. Describes a quiet, reserved person."
目睡鳥,muk5 soi4 diau1,“目睡”是睏的意思。“目睡鳥”是戲稱一些經常感到睏的人。,目睡 = drowsy. A drowsy bird. Teasing nickname for someone who is always sleepy or dozing off.
牛王頭,ngiu2 vong2 teu2,指小孩頑皮。“牛王”是牛魔王的意思。,"A mischievous, naughty child. 牛王 = Ox King / Bull Demon King."
愛得你,oi4 det5 ngi2,隨你的便。,Up to you; do as you like; suit yourself.
惡雞嫲,ok5 gai1 ma2,本義是很兇猛的母雞。比喻為很兇惡的女人。,"A fierce, aggressive mother hen. Extended: a fierce, aggressive woman."
白蟻嚙,pak6 li1 ngat5,字面是被白蟻咬的人，其實是罵人家老不死。,"Lit. 'gnawed by termites'. A sarcastic insult implying the person is so old they should have been eaten by termites – 'you old thing, why won't you die?'"
霎瞇眼,sap5 mi1 ngan3,閉上眼睛的意思。也是“死去”的委婉語。,To close one's eyes. Also a euphemism for dying.
殺鼠貓,sa3 cu3 miau4,很會捉老鼠的貓。也比喻很會管理下屬的老闆。,A cat that is very good at catching mice. Extended: a boss who is very good at managing subordinates.
死對佢,si3 doi4 gi2,（被他欺負）因為他而死，注意“對”的發音。,To die because of him; (being bullied by him) suffering to the point of death. Note: 對 has a specific tone.
死肭仔,si3 lep5 zai3,肭仔是小胖子。罵男孩的話。,肭仔 = little fatty. A scolding term for a plump boy.
死妹罌,si3 moi4 ang1,罵女孩的話。,A scolding term for a girl (妹罌 = girl's pot/jar).
死食豚,si3 sit6 tun2,罵人饞嘴，好吃。,A scolding: 'you gluttonous pig'; greedy for food.
死會算,si3 voi4 son4,死會就是很會，很會算，但有負面的評價。,"Lit. 'dies knowing how to calculate'. Very calculating in a negative way; shrewd in a petty, self-serving manner."
四棱棍,si4 liam4 gun4,四方的棍子。指一些不會變通的人。,"A four-sided rod. Describes a person who is rigid and inflexible, unable to adapt."
鮮魚缽,sien1 ng bat5,字面是裝鮮魚的盤子，但實指男嬰。客家人認為生男孩子比較值錢，好像鮮魚一樣。女孩比較不值錢，好像豬肉，所以問人家新出生孩子的性別，就用鮮魚缽來指稱男孩，豬肉缽來代表指稱女孩。,Lit. 'fresh fish basin'. Refers to a newborn boy. Hakka traditionally valued sons more than daughters. A girl would be referred to as 豬肉缽 (pork basin). See also 豬肉缽.
虱背後,sit5 boi4 heu1,在屁股後面。即正後方。“虱”是“屎窟”（屁股）的合音。注意“後”唸陰平調。,Directly behind; right at the back. 虱 is a contraction of 屎窟 (buttocks). Note: 後 is read in level tone.
食飽餐,sit6 bau3 con1,大吃一頓。但多數用來罵人。例：好去食飽餐咯〔去大吃一頓吧〕（表示有點不滿）。,To have a big meal; eat one's fill. Often used sarcastically to show dissatisfaction: 'Go eat your fill then' (implies 'you've done something annoying').
食到畏,sit6 dau4 vui4,（天天重複的食物）食到怕，一點胃口都沒有。,To be so sick of eating the same food that you've lost all appetite for it.
食浪米,sit6 long4 mi3,“浪”是枉、浪費的意思。“食浪米”是罵人白白浪費米飯的意思，也是個不雅的詈語。,浪 = wasteful. Eating rice wastefully; also used as a vulgar insult.
食燒啜,sit6 sau1 zoi4,“啜”是嘴巴，吃到嘴巴都熱了，意思是吃上癮了。,啜 = mouth. Eating so much that the mouth is hot from it; eating compulsively; addicted to eating.
食睡屙,sit6 soi4 o1,吃飯、睡覺、拉屎。嬰孩或者老人的生活，或者嘲笑人好像廢人一樣。,"Eating, sleeping, and defecating. The life of a baby or an elderly person; or mockingly: describing someone who does nothing productive."
酸果頭,son1 go3 teu2,字面是酸的果子，但引申為傻瓜、三八。,"Lit. 'sour fruit head'. Means a foolish, silly, or scatterbrained person."
爽地泥,song3 ti4 lai2,把碎紙等東西灑在地上，弄得滿地垃圾的意思。,To scatter paper scraps and other bits on the ground; to litter.
炮打鬼,pau4 da3 gui3,該死的，又可以說成“打靶鬼”。,A damned scoundrel; also used as a playful nickname. Also 打靶鬼.
病脫頭,piang4 lot5 teu2,應該是病到脫頭髮的意思，本來是個罵人的詈語。現在用來互相笑罵的暱稱。,Lit. 'sick enough to lose one's hair'. Originally a curse. Now used as a playful nickname between friends.
大番薯,tai4 fan1 su2,比喻一些塊頭大，但笨頭笨腦的人。,A big sweet potato. Describes a large but dim-witted person.
渡人仔,tu4 ngin2 zai3,照顧小孩，又作帶人仔。,To take care of a child. Also 帶人仔.
灶下雞,zau4 ha1 gai1,“灶下”是廚房的意思。歇後語是“出到門背唔曉啼”，指沒有膽量到外面去闖的人。,灶下 = kitchen. A kitchen chicken. The 歇後語 continuation is 出到門背唔曉啼 (can't crow once out the door) = someone too timid to venture out into the world.
啜來講,zoi4 loi2 gong3,字面是用嘴巴來說，指只說不幹。,Lit. 'use the mouth to say'. Means talking without doing; all talk and no action.
作下力,zok5 ha4 lit6,用力。,To exert force; to use strength.
豬篼下,zu1 deu1 ha1,豬篼是用來餵豬的容器，通常是長條形。豬進食的時候很急，濺出很多飼料，所以豬篼下面很髒。用來形容小孩吃飯浪費了一大半的樣子。,豬篼 = the feeding trough for pigs. Pigs eat frantically and slop food everywhere. Describes a child who makes a terrible mess while eating.
豬嫲尿,zu1 ma2 ngiau4,（尤其指小孩）很多很大的一泡尿。,(Especially of children) a very large amount of urine in one go.
豬肉缽,zu1 ngiuk5 bat5,字面是裝豬肉的盤子。但實指女嬰。見鮮魚缽一條。,Lit. 'pork basin'. Refers to a newborn girl. Traditionally girls were considered less valuable. See 鮮魚缽.
豬接勺,zu1 ziap5 sok6,餵豬的時候豬來接着勺子的食物，但通常只是接到一半左右。指一個人接受信息的時候沒有聽清楚，漏掉了很多重要的部分卻隨便插嘴。,"A pig rushing to grab food from a ladle, catching only half. Describes someone who only catches part of what is said and then blurts out an answer before hearing everything."
中崩崗,zung4 ben1 gong1,跳崖的意思，用來罵人。,To jump off a cliff; used as a curse.
中命鬼,zung4 miang4 gui3,亂蹦亂跳，橫衝直撞最後而死的鬼，用來罵人亂跑。,A ghost that runs around wildly and dies from crashing into things. Used to scold someone for running around recklessly.
中石角,zung4 sak6 gok5,跳到亂石堆而死的意思，用來罵人。,To crash into a pile of rocks and die; used as a curse.
矮耷耷,ai3 dep6 dep6,非常矮。,Extremely short (in stature).
暗摸摸,am4 mo1 mo1,（天色、地方）非常黑暗。,Pitch dark (of a place or sky).
飽凸凸,bau3 tet6 tet6,非常飽。,Extremely full (after eating).
扁塌塌,bien3 tat6 tat6,非常扁。,Extremely flat.
淺滑滑,cien3 vat6 vat6,（容器）非常淺。,Extremely shallow (of a container).
深猛猛,cim1 mang1 mang1,（容器或者房子的深度）非常深。,Extremely deep (of a container or room).
靜若若,cin4 ngiok6 ngiok6,（環境）非常靜。,Extremely quiet (of a place).
直筆筆,cit6 bit5 bit5,非常直。,Perfectly straight.
長纜纜,cong2 lam2 lam2,非常長。,Extremely long.
粗塏塏,cu1 kai2 kai2,非常粗。,Extremely thick/coarse.
重墜墜,cung1 dui2 dui2,非常重。,Extremely heavy.
短述述,don3 sut6 sut6,非常短。,Extremely short (in length).
闊膀膀,fat5 pong1 pong1,（衣物）非常寛。,(Of clothing) extremely wide; very loose-fitting.
苦丟丟,fu3 diu2 diu2,（食物、水果）非常苦。,(Of food or fruit) extremely bitter.
紅淮淮,fung2 fai2 fai2,非常紅。（不好看的樣子）,Extremely red (unattractive shade).
紅彤彤,fung2 dung4 dung4,非常紅。（中性評價）,Extremely red (neutral connotation).
紅唧唧,fung2 zit6 zit6,非常紅。（中性評價）,Extremely red (neutral).
高東東,gau1 dung1 dung1,（尤其指身材）非常高，又作高天天。,Extremely tall (especially of a person). Also 高天天.
光華華,gong1 va2 va2,非常光亮。,Extremely bright and shiny.
好丁丁,hau3 din2 din2,好端端。,Perfectly fine; in good shape.
香不不,hiong1 but5 but5,非常香。又作香噴噴。,Extremely fragrant. Also 香噴噴.
香噴噴,hiong1 pun4 pun4,非常香。又作香不不。,Extremely fragrant. Also 香不不.
輕匹匹,kiang1 pit6 pit6,非常輕。,Extremely light (in weight).
狹唧唧,kiap6 zit6 zit6,指地方非常狹小。,Extremely narrow (of a space).
舊末末,kiu4 mat6 mat6,（衣物）非常舊。,(Of clothing) extremely old and worn.
爛節節,lan4 ziet6 ziet6,爛起來有水分，尤其是腐爛的物件或路上的泥濘。,Rotting with moisture; waterlogged (rotten objects or muddy roads).
爛綿棉,lan4 mien2 mien2,爛起來幾乎溶化了。又作爛溶溶。,Almost completely disintegrated; so rotten it's nearly dissolved. Also 爛溶溶.
爛溶溶,lan4 yung2 yung2,爛起來幾乎溶化了。又作爛綿棉。,Almost completely dissolved/disintegrated. Also 爛綿棉.
冷懷懷,lang1 vai2 vai2,（天氣）非常冷。,(Of weather) extremely cold.
冷挖挖,lang1 vat5 vat5,（食物放太久）非常冷。,(Of food left too long) stone cold.
老嚙嚙,lau3 ngat6 ngat6,（食物尤其是蔬菜）非常老（“老嚙嚙”不能用來形容人）。,(Of vegetables) extremely tough and fibrous (cannot be used for people).
捻支支,lem1 zi2 zi2,（食物或用品）非常軟而引起不舒服的感覺,(Of food or objects) unpleasantly soft and slimy.
腍榜榜,lem2 bong2 bong2,（食物或用品，也可以指人）非常軟（負面評價）。,"Extremely soft (negative connotation) – of food or objects, or even a person."
腍不不,lem2 but6 but6,（食物或者用品）非常軟（正面評價）。,Extremely soft (positive connotation) – of food or objects.
腍漿漿,lem2 zio1 zio1,（食物或者用品）非常軟。,Extremely soft – of food or objects.
肭卒卒,lep5 zut5 zut5,人或者家畜非常胖（有點可愛）。,Very chubby (endearingly) – of a person or animal.
稠度度,leu2 du2 du2,（稀飯等）很粘稠。,(Of porridge etc.) very thick and viscous.
膩絕絕,li4 ciet6 ciet6,非常油膩。,Extremely greasy or oily.
瀲糠糠,liam3 hong3 hong3,（應該積水的地方或充滿水分的食物）很乾。,"Surprisingly dry (of a place that should hold water, or of food that should be moist)."
涼陰陰,liong2 yim3 yim3,（地方）非常涼快而令人舒服。,Pleasantly cool (of a place); a refreshing coolness.
暖屈屈,lon1 vut5 vut5,（地方）非常溫暖而令人舒服。,Pleasantly warm and cozy (of a place).
亂東東,lon4 dung1 dung1,非常凌亂。.,Extremely messy and cluttered.
嫰述述,lun4 sut6 sut6,（通常指蔬菜等食物）非常嫩而好吃。,(Of vegetables etc.) extremely tender and tasty.
滿卒卒,man1 zut5 zut5,非常滿。,Completely full; filled to the brim.
硬各各,ngang4 gok6 gok6,（物體，尤其是麪包、饅頭等食物）非常硬。,"Extremely hard (of bread, buns etc.)."
硬翹翹,ngang4 kiau4 kiau4,（屍體）僵硬。或者是物品硬得讓不舒服。,Stiffly rigid (of a corpse); or unpleasantly stiff/hard.
凹皮皮,ngiap5 pi3 pi3,（皮球、肚皮等）凹進去非常厲害。,Severely sunken (of a ball or belly).
熱伏伏,ngiet6 fuk6 fuk6,（棉被、暖氣）熱而令人舒服。,Pleasantly warm (of a blanket or heater).
熱焫焫,ngiet6 lat5 lat5,（物件）非常燙。,Burning hot (of an object).
軟泥泥,ngion1 lai2 lai2,（身體）非常軟而無力。,Extremely limp and powerless (of a body).
軟入入,ngion1 ngip6 ngip6,（物件）很柔軟。,Very supple and soft (of an object).
韌極極,ngiun4 git6 git6,（食物如牛腩）非常韌，很難嚼。,Extremely tough and chewy (of food like beef brisket).
惡豺豺,ok5 sai2 sai2,（人或者家畜）非常兇。,Extremely fierce and aggressive (of a person or animal).
白糠糠,pak6 hong3 hong3,一鼻子灰的樣子，見“鼻公白糠糠”。,Ashy pale (covered in dust); see 鼻公白糠糠.
白霜霜,pak6 song2 song2,（臉色、墻壁）非常蒼白而不好看。,Sickly white/pale (of a face or wall); unhealthily pale.
白雪雪,pak6 sut6 sut6,非常白（白得好看）。,Brilliantly white (attractively white).
泛疏疏,pang4 so4 so4,空心或非常不結實。,Hollow or very flimsy and insubstantial.
平摸摸,piang2 mo1 mo1,（鼻子等）很平，沒有凹凸感。通常是貶義。,Very flat with no protrusions (usually of a nose); pejorative.
薄翼翼,pok6 yit6 yit6,非常薄。,Extremely thin.
肥腯腯,pui2 dut6 dut6,（人或者家畜）非常肥胖。,Very fat and plump (of a person or animal).
笨繳繳,pun1 giau2 giau2,非常厚。,Extremely thick.
